Fecha	Hora	Nivel (msnm)	Aforador - Caudal (l/s)	PZ-2-A-1 (Hz)	PZ-2-A-1 (mca)	PZ-2-A-1 (N. Piezom.)	PZ-2-A-1 (%)	PZ-2-A-2 (Hz)	PZ-2-A-2 (mca)	PZ-2-A-2 (N. Piezom.)	PZ-2-A-2 (%)	PZ-2-A-3 (Hz)	PZ-2-A-3 (mca)	PZ-2-A-3 (N. Piezom.)	PZ-2-A-3 (%)	PZ-2-B-1 (Hz)	PZ-2-B-1 (mca)	PZ-2-B-1 (N. Piezom.)
02/03/2020	10:26:33	45,22	1,116	0	199,643	248,343	-5720,426	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	0	177,482	222,282
03/03/2020	10:26:33	45,21	1,109	2947,2	-1,177	47,523	33,727	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	3017,9	-1,302	43,498
03/03/2020	10:26:33	45,22	1,112	2947,2	-1,177	47,523	33,727	206,5	180,945	227,145	-18277,25	0	196,267	239,467	9764,541	0	177,482	222,282
04/03/2020	10:26:33	45,21	1,107	0	199,643	248,343	-5720,426	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	0	177,482	222,282
04/03/2020	10:26:33	45,2	1,104	0	199,643	248,343	-5720,426	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	0	177,482	222,282
05/03/2020	10:26:33	45,2	1,085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05/03/2020	10:26:33	45,21	1,118	0	199,643	248,343	-5704,084	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	3018,5	-1,373	43,427
06/03/2020	10:26:33	45,2	1,094	2947,4	-1,204	47,496	34,409	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
06/03/2020	10:26:33	45,2	1,109	0	199,643	248,343	-5704,084	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
07/03/2020	10:26:33	45,2	1,087	2947,3	-1,191	47,509	34,021	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	209,7	176,619	221,419
07/03/2020	10:26:33	45,2	1,116	0	199,643	248,343	-5704,084	0	181,831	228,031	-18183,117	220	195,226	238,426	9761,277	0	177,482	222,282
08/03/2020	10:26:33	45,19	1,087	2947,6	-1,232	47,468	35,088	0	181,831	228,031	-18003,049	0	196,267	239,467	9862,68	0	177,482	222,282
08/03/2020	10:26:33	45,2	1,1	2947,3	-1,191	47,509	34,021	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	3018	-1,314	43,486
09/03/2020	10:26:33	45,18	1,084	0	199,643	248,343	-5671,674	211,1	180,905	227,105	-17735,791	0	196,267	239,467	9912,482	0	177,482	222,282
09/03/2020	10:26:33	45,18	1,106	0	199,643	248,343	-5687,83	0	181,831	228,031	-18003,049	0	196,267	239,467	9862,68	0	177,482	222,282
10/03/2020	10:26:33	45,15	1,085	2947,3	-1,191	47,509	33,732	0	181,831	228,031	-17653,469	0	196,267	239,467	9962,811	0	177,482	222,282
10/03/2020	10:26:33	45,16	1,106	2947,3	-1,191	47,509	33,636	0	181,831	228,031	-17483,75	0	196,267	239,467	10013,632	0	177,482	222,282
11/03/2020	10:26:33	45,13	1,092	2947,4	-1,204	47,496	33,925	0	181,831	228,031	-17317,268	0	196,267	239,467	10064,976	0	177,482	222,282
11/03/2020	10:26:33	45,11	1,09	2947,5	-1,218	47,482	34,212	0	181,831	228,031	-17153,861	0	196,267	239,467	10116,868	0	177,482	222,282
